timestamp_s,landmark,x_m,y_m,z_m,visibility
0.000000,NOSE,0.1670597791671753,-0.5490489602088928,-0.24685460329055786,0.999138593673706
0.000000,LEFT_EYE_INNER,0.16565042734146118,-0.581082820892334,-0.24238398671150208,0.9988588094711304
0.000000,LEFT_EYE,0.16903068125247955,-0.5812417268753052,-0.23051822185516357,0.9990284442901611
0.000000,LEFT_EYE_OUTER,0.16794468462467194,-0.5818860530853271,-0.23479874432086945,0.9993066787719727
0.000000,RIGHT_EYE_INNER,0.16160792112350464,-0.5914309620857239,-0.2845877408981323,0.9992569088935852
0.000000,RIGHT_EYE,0.16322559118270874,-0.5881528854370117,-0.29881200194358826,0.9994792342185974
0.000000,RIGHT_EYE_OUTER,0.16576476395130157,-0.578023374080658,-0.27652159333229065,0.999570906162262
0.000000,LEFT_EAR,0.11439533531665802,-0.6071804761886597,-0.13613104820251465,0.9997032284736633
0.000000,RIGHT_EAR,0.040183886885643005,-0.5628315210342407,-0.26037585735321045,0.9993452429771423
0.000000,MOUTH_LEFT,0.15731137990951538,-0.5517777800559998,-0.19485580921173096,0.9996302127838135
0.000000,MOUTH_RIGHT,0.13468368351459503,-0.5186505317687988,-0.25912562012672424,0.9997106194496155
0.000000,LEFT_SHOULDER,0.11831450462341309,-0.4689176678657532,0.03938554599881172,0.9999381303787231
0.000000,RIGHT_SHOULDER,-0.060470350086688995,-0.5648475289344788,-0.14051413536071777,0.9999772310256958
0.000000,LEFT_ELBOW,0.1031746193766594,-0.32062625885009766,0.09933185577392578,0.5291642546653748
0.000000,RIGHT_ELBOW,-0.2620289921760559,-0.35907045006752014,-0.21309122443199158,0.9885242581367493
0.000000,LEFT_WRIST,0.238547682762146,-0.24121162295341492,0.08213428407907486,0.8437071442604065
0.000000,RIGHT_WRIST,-0.2133357971906662,-0.18784399330615997,-0.28566864132881165,0.9574865102767944
0.000000,LEFT_PINKY,0.26561975479125977,-0.23311437666416168,0.08339238166809082,0.8672046065330505
0.000000,RIGHT_PINKY,-0.17442455887794495,-0.15163330733776093,-0.34631192684173584,0.9496143460273743
0.000000,LEFT_INDEX,0.2776497006416321,-0.24585433304309845,0.06843943148851395,0.88018798828125
0.000000,RIGHT_INDEX,-0.10333628952503204,-0.17813123762607574,-0.34792351722717285,0.9531320929527283
0.000000,LEFT_THUMB,0.2559913098812103,-0.22347098588943481,0.07297138124704361,0.8593247532844543
0.000000,RIGHT_THUMB,-0.18418167531490326,-0.19059646129608154,-0.29544055461883545,0.936103105545044
