time_s,pelvis_flex_deg(Z),pelvis_abd_deg(X),pelvis_rot_deg(Y)
2.889985,0.769,0.917,-3.092
2.906787,-0.060,0.867,-3.687
2.923589,-0.939,0.832,-4.193
2.940392,-1.530,0.806,-4.269
2.957194,-1.951,0.860,-4.306
2.973996,-2.312,0.983,-4.098
2.990798,-2.577,1.130,-3.743
3.007601,-2.428,1.063,-3.224
3.024403,-2.186,0.933,-2.657
3.041205,-2.019,0.714,-2.074
3.058007,-1.742,0.438,-1.381
3.074810,-1.463,0.113,-0.678
3.091612,-1.388,-0.247,-0.169
3.108414,-1.296,-0.651,0.413
3.125216,-1.137,-1.151,0.792
3.142018,-0.812,-1.719,1.198
3.158821,-0.616,-2.150,1.540
3.175623,-0.277,-2.536,2.034
3.192425,0.262,-2.889,2.592
3.209227,0.862,-3.290,3.148
3.226030,1.486,-3.706,3.656
3.242832,2.019,-4.096,4.016
3.259634,2.386,-4.454,4.178
3.276436,2.616,-4.738,4.233
3.293239,2.769,-4.961,4.192
3.310041,2.895,-5.165,4.213
3.326843,3.015,-5.299,4.203
3.343645,3.141,-5.411,4.175
3.360448,3.193,-5.438,4.132
3.377250,3.218,-5.347,4.126
3.394052,3.340,-5.137,4.219
3.410854,3.654,-4.832,4.490
3.427657,4.223,-4.535,4.895
3.444459,4.854,-4.194,5.298
3.461261,5.411,-3.794,5.523
3.478063,5.820,-3.372,5.540
3.494865,6.051,-2.891,5.281
3.511668,6.214,-2.390,4.908
3.528470,6.318,-1.931,4.394
3.545272,6.375,-1.584,3.777
3.562074,6.247,-1.349,3.054
3.578877,5.787,-1.122,2.185
3.595679,5.133,-0.858,1.358
3.612481,4.333,-0.556,0.565
3.629283,3.484,-0.306,-0.135
3.646086,2.624,-0.089,-0.650
3.662888,1.807,0.134,-1.133
3.679690,1.065,0.305,-1.449
3.696492,0.334,0.493,-1.690
3.713295,-0.124,0.641,-1.645
3.730097,-0.423,0.824,-1.397
3.746899,-0.617,0.912,-1.142
3.763701,-0.698,0.876,-0.880
3.780504,-0.674,0.782,-0.541
3.797306,-0.631,0.666,-0.204
3.814108,-0.547,0.482,0.198
3.830910,-0.403,0.310,0.568
3.847712,-0.236,0.048,1.008
3.864515,-0.243,-0.183,1.348
3.881317,-0.192,-0.447,1.639
3.898119,-0.047,-0.680,1.960
3.914921,0.176,-0.844,2.358
3.931724,0.541,-0.986,2.823
3.948526,1.104,-1.081,3.387
3.965328,1.696,-1.180,3.924
3.982130,2.203,-1.242,4.402
3.998933,2.657,-1.218,4.726
4.015735,2.945,-1.242,4.771
4.032537,3.162,-1.308,4.692
4.049339,3.273,-1.357,4.539
4.066142,3.342,-1.369,4.302
4.082944,3.306,-1.310,3.988
4.099746,3.257,-1.268,3.691
4.116548,3.164,-1.106,3.364
4.133351,3.068,-0.909,3.066
4.150153,3.005,-0.626,2.823
4.166955,3.102,-0.223,2.729
4.183757,3.269,0.332,2.665
4.200559,3.493,0.934,2.638
4.217362,3.764,1.572,2.622
4.234164,3.940,2.290,2.418
4.250966,3.944,3.066,2.003
4.267768,3.911,3.805,1.512
4.284571,3.852,4.522,0.965
4.301373,3.791,5.142,0.433
4.318175,3.673,5.669,-0.093
4.334977,3.372,6.071,-0.628
4.351780,2.968,6.429,-1.174
